Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
Shadow King,good,-,red,-,-,Marvel Comics,-,185,149
Shadow Lass,good,Female,black,Talokite,Black,DC Comics,blue,173,54
Shadowcat,good,Female,hazel,Mutant,Brown,Marvel Comics,-,168,50
Shang-Chi,good,Male,brown,Human,Black,Marvel Comics,-,178,79
Shatterstar,good,Male,brown,-,Red,Marvel Comics,-,191,88
She-Hulk,good,Female,green,Human,Green,Marvel Comics,-,201,315
She-Thing,good,Female,blue,Human / Radiation,No Hair,Marvel Comics,-,183,153
Shocker,bad,Male,brown,Human,Brown,Marvel Comics,-,175,79
Shriek,good,Female,yellow / blue,-,Black,Marvel Comics,-,173,52
Sif,good,Female,blue,Asgardian,Black,Marvel Comics,-,188,191
Silver Surfer,good,Male,white,Alien,No Hair,Marvel Comics,silver,193,101
Silverclaw,good,Female,brown,-,Black,Marvel Comics,-,157,50
Sinestro,neutral,Male,black,Korugaran,Black,DC Comics,red,201,92
Siren,bad,Female,blue,Atlantean,Purple,DC Comics,-,175,72
Siryn,bad,Female,blue,-,Strawberry Blond,Marvel Comics,-,168,52
Skaar,good,Male,green,-,Black,Marvel Comics,-,198,180
Snowbird,good,Female,white,-,Blond,Marvel Comics,-,178,49
Solomon Grundy,bad,Male,black,Zombie,White,DC Comics,-,279,437
Songbird,good,Female,green,-,Red / White,Marvel Comics,-,165,65
Space Ghost,good,Male,-,Human,-,DC Comics,-,188,113
Spawn,good,Male,brown,Demon,Black,Image Comics,-,211,405
Spider-Girl,good,Female,blue,Human,Brown,Marvel Comics,-,170,54
Spider-Gwen,good,Female,blue,Human,Blond,Marvel Comics,-,165,56
Spider-Man,good,Male,hazel,Human,Brown,Marvel Comics,-,178,74
Spider-Man,good,-,red,Human,Brown,Marvel Comics,-,178,77
Spider-Man,good,Male,brown,Human,Black,Marvel Comics,-,157,56
Spider-Woman,good,Female,green,Human,Black,Marvel Comics,-,178,59
Spider-Woman III,good,Female,brown,-,Brown,Marvel Comics,-,173,55
Spider-Woman IV,bad,Female,red,-,White,Marvel Comics,-,178,58
Spock,good,Male,brown,Human-Vulcan,Black,Star Trek,-,185,81
Spyke,good,Male,brown,Mutant,Blond,Marvel Comics,-,183,83
Star-Lord,good,Male,blue,Human-Spartoi,Blond,Marvel Comics,-,188,79
Starfire,good,Female,green,Tamaranean,Auburn,DC Comics,orange,193,71
Stargirl,good,Female,blue,Human,Blond,DC Comics,-,165,62
Static,good,Male,brown,Mutant,Black,DC Comics,-,170,63
Steel,good,Male,brown,-,No Hair,DC Comics,-,201,131
Steppenwolf,bad,Male,red,New God,Black,DC Comics,white,183,91
Storm,good,Female,blue,Mutant,White,Marvel Comics,-,180,57
Stormtrooper,bad,Male,-,Human,-,George Lucas,-,183,-99
Sunspot,good,Male,brown,Mutant,black,Marvel Comics,-,173,77
Superboy,good,Male,blue,-,Black,DC Comics,-,170,68
Superboy-Prime,bad,Male,blue,Kryptonian,Black / Blue,DC Comics,-,180,77
Supergirl,good,Female,blue,Kryptonian,Blond,DC Comics,-,165,54
Superman,good,Male,blue,Kryptonian,Black,DC Comics,-,191,101
Swarm,bad,Male,yellow,Mutant,No Hair,Marvel Comics,yellow,196,47
Synch,good,Male,brown,-,Black,Marvel Comics,-,180,74
T-1000,bad,Male,-,Android,-,Dark Horse Comics,silver,183,146
T-800,bad,Male,red,Cyborg,-,Dark Horse Comics,-,-99,176
T-850,bad,Male,red,Cyborg,-,Dark Horse Comics,-,-99,198
T-X,bad,Female,-,Cyborg,-,Dark Horse Comics,silver,-99,149
Taskmaster,bad,Male,brown,Human,Brown,Marvel Comics,-,188,99
Tempest,good,Female,brown,-,Black,Marvel Comics,-,163,54
Thanos,bad,Male,red,Eternal,No Hair,Marvel Comics,purple,201,443
The Comedian,neutral,Male,brown,Human,Black,DC Comics,-,188,101
Thing,good,Male,blue,Human / Radiation,No Hair,Marvel Comics,-,183,225
Thor,good,Male,blue,Asgardian,Blond,Marvel Comics,-,198,288
Thor Girl,good,Female,blue,Asgardian,Blond,Marvel Comics,-,175,143
Thunderbird,good,Male,brown,-,Black,Marvel Comics,-,185,101
Thunderbird III,good,Male,brown,-,Black,Marvel Comics,-,175,74
Thunderstrike,good,Male,blue,-,Blond,Marvel Comics,-,198,288
Thundra,good,Female,green,-,Red,Marvel Comics,-,218,158
Tiger Shark,bad,Male,grey,Human,No Hair,Marvel Comics,grey,185,203
Tigra,good,Female,green,-,Auburn,Marvel Comics,-,178,81
Tinkerer,bad,Male,brown,-,White,Marvel Comics,-,163,54
Toad,neutral,Male,black,Mutant,Brown,Marvel Comics,green,175,76
Toxin,good,Male,blue,Symbiote,Brown,Marvel Comics,-,188,97
Toxin,good,Male,black,Symbiote,Blond,Marvel Comics,-,191,117
Trickster,-,Male,blue,Human,Blond,DC Comics,-,183,81
Triplicate Girl,good,Female,purple,-,Brown,DC Comics,-,168,59
Triton,good,Male,green,Inhuman,No Hair,Marvel Comics,green,188,86
Ultragirl,good,Female,blue,-,Blond,Marvel Comics,-,168,105
Ultron,bad,Male,red,Android,-,Marvel Comics,silver,206,331
Utgard-Loki,bad,Male,blue,Frost Giant,White,Marvel Comics,-,15.2,58
Vagabond,good,Female,blue,-,Strawberry Blond,Marvel Comics,-,168,54
Valerie Hart,good,Female,hazel,-,Black,Team Epic TV,-,175,56
Valkyrie,good,Female,blue,-,Blond,Marvel Comics,-,191,214
Vanisher,bad,Male,green,-,No Hair,Marvel Comics,-,165,79
Vegeta,bad,Male,-,Saiyan,Black,Shueisha,-,168,73
Venom,bad,Male,blue,Symbiote,Strawberry Blond,Marvel Comics,-,191,117
Venom II,bad,Male,brown,-,Black,Marvel Comics,-,175,50
Venom III,bad,Male,brown,Symbiote,Brown,Marvel Comics,-,229,334
Venompool,-,Male,-,Symbiote,-,Marvel Comics,-,226,-99
Vertigo II,good,Female,blue,-,Silver,Marvel Comics,-,168,52
Vibe,good,Male,brown,Human,Black,DC Comics,-,178,71
Vindicator,good,Female,green,Human,Red,Marvel Comics,-,165,54
Violet Parr,good,Female,violet,Human,Black,Dark Horse Comics,-,137,41
Vision,good,Male,gold,Android,No Hair,Marvel Comics,red,191,135
Vision II,good,-,red,-,No Hair,Marvel Comics,-,191,135
Vixen,good,Female,amber,Human,Black,DC Comics,-,175,63
Vulture,bad,Male,brown,Human,No Hair,Marvel Comics,-,180,79
Walrus,bad,Male,blue,Human,Black,Marvel Comics,-,183,162
War Machine,good,Male,brown,Human,Brown,Marvel Comics,-,185,95
Warbird,good,Female,blue,-,Blond,Marvel Comics,-,180,54
Warlock,good,Male,red,-,Blond,Marvel Comics,-,188,108
Warp,bad,Male,brown,-,Black,DC Comics,-,173,67
Warpath,good,Male,brown,Mutant,Black,Marvel Comics,-,218,158
Wasp,good,Female,blue,Human,Auburn,Marvel Comics,-,163,50
White Queen,good,Female,blue,-,Blond,Marvel Comics,-,178,65
Winter Soldier,good,Male,brown,Human,Brown,Marvel Comics,-,175,117
Wiz Kid,good,-,brown,-,Black,Marvel Comics,-,140,39
Wolfsbane,good,Female,green,-,Auburn,Marvel Comics,-,366,473
Wolverine,good,Male,blue,Mutant,Black,Marvel Comics,-,160,135
Wonder Girl,good,Female,blue,Demi-God,Blond,DC Comics,-,165,51
Wonder Man,good,Male,red,-,Black,Marvel Comics,-,188,171
Wonder Woman,good,Female,blue,Amazon,Black,DC Comics,-,183,74
Wyatt Wingfoot,good,Male,brown,-,Black,Marvel Comics,-,196,117
X-23,good,Female,green,Mutant / Clone,Black,Marvel Comics,-,155,50
X-Man,good,Male,blue,-,Brown,Marvel Comics,-,175,61
Yellow Claw,bad,Male,blue,-,No Hair,Marvel Comics,-,188,95
Yellowjacket,good,Male,blue,Human,Blond,Marvel Comics,-,183,83
Yellowjacket II,good,Female,blue,Human,Strawberry Blond,Marvel Comics,-,165,52
Ymir,good,Male,white,Frost Giant,No Hair,Marvel Comics,white,304.8,-99
Yoda,good,Male,brown,Yoda's species,White,George Lucas,green,66,17
Zatanna,good,Female,blue,Human,Black,DC Comics,-,170,57
Zoom,bad,Male,red,-,Brown,DC Comics,-,185,81
Akha,good,Male,brown,Human,Brown,RL,-,178,65
